"TextMaster","TextMaster"
"Project","Projet"
"Create","Créer"
"Manage","Gérer"
"Configuration","Configuration"
"Authentication","Authentification"
"Language Mapping","Association des langues"
"Translatable Content Selection","Sélection de contenu"
"Add New Project","Ajouter un nouveau projet"
"textmaster_staging","TEST"
"textmaster_production","PRODUCTION"
"Environment","Environnement"
"Api Key","Api Key"
"Api Secret","Api Secret"
"TextMaster Account","Compte TextMaster"
"Credits","Crédits"
"Buy credits","Acheter des crédits"
"Name","Nom"
"Reference","Référence"
"Source Language","Langue source"
"Target Language","Langue cible"
"Level","Niveau"
"Document Type","Type de document"
"Number of documents","Nombre de documents"
"Price","Prix"
"Status","Statut"
"Category","Catégorie"
"Created At","Date de création"
"Last Changed","Dernier changement"
"In creation","En création"
"Waiting assignment","En attente d'une affectation"
"In progress","En cours"
"In review","En révision"
"Completed","Terminé"
"Incomplete","Incomplet"
"Paused","Pause"
"Canceled","Annulé"
"Copyscape","Copyscape"
"Counting words","Comptage des mots"
"Quality control","Contrôle qualité"
"Product","Produit"
"Page","Page"
"Block","Bloc"
"Premium","Premium"
"Enterprise","Enterprise"
"attribute_page_title","Titre de page"
"attribute_page_content","Contenu"
"attribute_page_content_heading","Entête du contenu"
"attribute_page_meta_description","Meta Description"
"attribute_page_meta_keywords","Meta Keywords"
"attribute_page_meta_title","Meta Title"
"attribute_block_title","Titre du block"
"attribute_block_content","Contenu"
"There was an error while processing the request","Une erreur est survenue lors du traitement de la requête"
"The module needs api templates to work. Please click on the following link <a href="%1">Manage my API Templates</a>.","Le module a besoin de templates configuré dans l'api pour fonctionner. Merci de cliquer sur le lien suivant <a href="%1">Configurer mes API Templates</a>."
"The module needs api keys and api secret to work. Please click on the following link <a href="%1">Manage my Authentification</a>.","Le module a besoin des api keys et api secret pour fonctionner. Merci de cliquer sur le lien suivant <a href="%1">Configurer mon authentification</a>."
"The module needs at least two different stores to work. Please click on the following link <a href="%1">Manage my Stores</a>.","Le module a besoin d'au moins deux magasins différents pour fonctionner. Merci de cliquer sur le lien suivant <a href="%1">Configurer mes magasins</a>."
"The module needs at least one translatable attribute for product, category, page and block to work. Please click on the following link <a href="%1">Manage my Translatable Content</a>.","Le module a besoin d'au moins un attribut traductible pour les produits, catégories, pages CMS et blocs CMS pour fonctionner. Merci de cliquer sur le lien suivant <a href="%1">Configurer mes attributs traductibles</a>."
"in_creation","En création"
"waiting_assignment","En attente d'une affectation"
"in_progress","En cours"
"in_review","En revue"
"completed","Terminé"
"incomplete","Incomplet"
"paused","Mis en pause"
"canceled","Annulé"
"copyscape","Copyscape"
"counting_words","Comptage des mots"
"quality_control","Contrôle qualité"
"premium","Premium"
"enterprise","Entreprise"
"product","produit"
"category","catégorie"
"page","page"
"block","block"
"Project Name","Nom du projet"
"Due Date","Date de livraison"
"Notes","Notes"
"Template","Template"
"Language Level","Niveau du langage"
"Total Word Count","Total de mots comptés"
"Updated At","Mis à jour le"
"Link To Textmaster","Lien vers Textmaster"
"See project on textmaster","Voir le projet sur textmaster"
"Do you want to apply the translation for the selected attributes?","Voulez-vous appliquer la traduction pour les éléments sélectionnés ?"
"Validate Quote","Validate le devis"
"* Translation can only be applied on documents which are "in_review" status","* La traduction peut uniquement s'appliquer sur les documents qui ont le statut "En revue"."
"Back","Retour"
"Delete","Supprimer"
"Save","Sauvegarder"
"Title","Titre"
"Block requires","Le bloc est requis"
"Attribute Set","Groupe d'attributs"
"Visibility","Visibilité"
"Language Mapping Configuration","Configuration de l'association des langues"
"Edit Language Mapping","Editer l'association des langues"
"The language mapping has been deleted.","L'association des langues a été supprimé."
"New Language Mapping","Nouvelle association de langues"
"Manage Language Mapping","Configurer l'association des langues"
"This language mapping does not exist","Cette association de langue n'existe pas"
"Total of %1 language mapping(s) were deleted.","%1 association(s) de langues ont été supprimées."
"The language mapping has been saved.","L'association de langue a été sauvegardée."
"Language Mapping with same magento locale already exists. Magento locales can be mapped only once.","Une association de langue avec la même locale magento existe déjà. Les locales magento ne peuvent être associées qu'une seule fois."
"Something went wrong while saving the languageMapping. %1","Un problème est survenu lors de la sauvegarde de l'association de langues. %1"
"The project has been deleted.","Le projet a été supprimé."
"View Project","Voir le project"
"Manage Projects","Configurer les projets"
"Manage Project","Configurer le projet"
"New Project","Nouveau Projet"
"Edit Project","Editer le Projet"
"The project to delete does not exist.","Le projet a supprimé n'existe pas."
"Error while applying translation.","Un problème est survenu lors de l'application de la traduction."
"This project does not exist","Le projet n'existe pas"
"%1 %2(s) translations have been applied.","%1 %2(s) traductions ont bien été appliquées."
"%1 %2(s) translation applications have failed. Translation couldn\'t be applied on %2(s) %3","%1 %2(s) applications de traduction ont échoué. La traduction n'a pas réussi à s'appliquer sur les %2(s) %3"
"You must select at least one %1 to translate","Vous devez sélectionner au moins un %1 à traduire"
"You must add at least one Target language and one API Template","Vous devez ajouter au moins un langage cible et un template d'API"
"The project has been saved.","Le projet a été sauvegardé."
"%1 projects have been saved.","%1 projets ont été sauvegardés."
"Something went wrong while saving the project. %1","Un problème est survenu lors de l'enregistrement du projet. %1"
"Target languages could not be the same. Source and target pairs should be unique.","Les langues cibles ne peuvent pas être les mêmes. Les paires de langue source et langue cible doivent être uniques."
"Templates could not be the same. Please check source and language pairs match appropriate template","Les templates utilisés ne peuvent pas être les mêmes. Vérifiez que les paires de langue source et langue cible correspondent au template approprié."
"Error while validating the quote.","Une erreur est survenue lors de la validation du devis."
"The quote of the project %1 has been validated","Le devis du projet %1 a été validé"
"Projects","Projets"
"View Project #%1","Voir le projet #%1"
"Edit Language Mapping #%1","Editer l'association de langue #%1"
"Edit Project #%1","Editer le Projet #%1"
"This translatable content does not exist","Cet attribut traductible n'existe pas."
"Translatable Content Configuration","Configuration des attributs traductibles"
"Something went wrong while saving the attributes. %1","Une erreur est survenue lors de la sauvegarde des attributs. %1"
"All attributes selected will no longer be selected by default","Tous les attributs sélectionnés ne seront plus sélectionnés par défaut lors de la création d'un nouveau projet"
"Something went wrong while deleting the attributes. %1","Une erreur est survenue lors de la suppression des attributs. %1"
"All attributes selected have been disabled","Tous les attributs sélectionnés ont été désactivés et ne seront plus proposés lors de la création d'un nouveau projet"
"All attributes selected have been enabled","Tous les attributs sélectionnés ont été activés et seront proposés lors de la création d'un nouveau projet"
"All attributes selected have been enabled and selected by default","Tous les attributs sélectionnés ont été activés et seront sélectionnés par défaut lors de la création d'un nouveau projet"
"An error occurred while connecting to API TextMaster","Un problème est survenu lors de la connexion à l'API TextMaster"
"Unable to find translatable content with ID "%1"","L'attribut avec l'ID "%1" n'a pas été trouvé"
"Unable to find document with TextMaster ID "%1"","Le document avec le TextMaster ID "%1" n'a pas été trouvé"
"Unable to find language mapping with ID "%1"","L'association de langues avec l'ID "%1" n'a pas été trouvé"
"Unable to find language mapping with TextMaster ID "%1"","L'association de langues avec le TextMaster ID "%1" n'a pas été trouvé"
"Unable to find project attribute with ID "%1"","L'attribut projet avec l'ID "%1" n'a pas été trouvé"
"Unable to find project with ID "%1"","Le projet avec l'ID "%1" n'a pas été trouvé"
"Unable to find project with TextMaster ID "%1"","Le projet avec le TextMaster ID "%1" n'a pas été trouvé"
"Unable to find translatable content with ID "%1"","L'attribut traductible avec l'ID "%1" n'a pas été trouvé"
"Apply Translation","Appliquer la traduction"
"View detail","Voir le détail"
"No target language available","Aucun langage cible n'est disponible"
"No API Template available","Aucun API template n'est disponible"
"Unique Target language","Langue cible unique"
"This is a required field.","Ce champs est requis."
"title","titre"
"Language Mapping Form","Formulaire d'association de langages"
"Magento Locale Language","Magento Locale Langage"
"TextMaster Locale Language","TextMaster Locale Langage"
"Api Locale Language","Api Locale Langage"
"Add New Language Mapping","Ajouter une nouvelle association de langages"
"Delete language mapping","Supprimer l'association de langages"
"Are you sure to delete?","Voulez-vous vraiment supprimer ces associations de langage ?"
"Add Target Language","Ajouter un langage cible"
"API Template","API Template"
"Select Products","Sélection de produits"
"Select Categories","Sélection de catégories"
"Select Pages","Sélection de pages"
"Select Blocks","Sélection de blocks"
"Select Attributes","Sélection d'attributs"
"Product Attributes","Attributs produits"
"Category Attributes","Attributs catégories"
"Page Attributes","Attributs pages"
"Block Attributes","Attributs blocks"
"Enable To Translate","Activer la traduction"
"Enable To Translate And Select By Default","Activer la traduction et sélectionner par défaut"
"Disable Select By Default","Désactiver la sélection par défaut"
"Disable To Translate","Désactiver la traduction"
"Attribute Code","Code d'attribut"
"Translatable","Traductible"
"Select By Default","Sélectionner par défaut"
"The translation on the project %1 is being to be applied. Please wait.","L'application de la traduction sur le projet %1 est en cours. Veuillez patienter."
"Application of translations in progress","Application des traductions en cours de traitement"
"Translation has been applied on selected documents on the project %1","Les documents sélectionnés ont été traduits sur le projet %1"
